Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-May-2021,96.25,98.75,96.10,97.00,97.829503993836002848,3353668,5636,328087677.00,2535143,75.59,2.65,0.75
4-May-2021,97.40,98.90,94.35,95.65,97.454878692990579720,3795535,14027,369893403.00,2457168,64.74,4.55,-1.75
3-May-2021,94.80,97.65,92.20,95.55,95.578532770640167422,1154448,6742,110340446.00,305064,26.42,5.45,0.75
30-April-2021,95.65,98.35,94.40,94.75,97.629943338431245051,3866289,7000,377465576.00,3202181,82.82,3.95,-0.90
29-April-2021,97.30,99.25,95.75,96.95,98.189267365370143137,8724922,28746,856693699.00,4878193,55.91,3.50,-0.35
28-April-2021,91.00,94.55,90.35,94.55,92.479306475222713762,1972936,12503,182455753.00,1316696,66.74,4.20,3.55
27-April-2021,88.60,90.70,87.80,90.05,89.477600419086945133,649030,4765,58073647.00,197987,30.50,2.90,1.45
26-April-2021,89.25,89.70,87.05,87.70,88.415202272408126864,405913,3920,35888880.00,156802,38.63,2.65,-1.55
23-April-2021,86.20,90.65,86.20,87.80,88.812057136496340477,1697899,11926,150793903.00,804307,47.37,4.45,1.60
22-April-2021,86.50,88.40,85.20,87.25,86.767257563268007658,1071197,6077,92944826.00,258707,24.15,3.20,0.75
20-April-2021,89.70,90.70,85.00,87.05,88.182192394621674536,1111424,6597,98007805.00,351393,31.62,5.70,-2.65
19-April-2021,88.00,89.95,87.30,87.45,88.047462032238083452,2307023,17621,203127520.00,1187902,51.49,2.65,-0.55
16-April-2021,91.90,94.55,91.10,91.85,92.934855409260194283,926892,6538,86140574.00,286735,30.94,3.45,-0.05
15-April-2021,88.25,92.35,88.25,90.70,90.572980783188694690,1336434,7965,121044811.00,353571,26.46,4.10,2.45
13-April-2021,89.10,94.90,88.30,90.35,90.550658754803996925,4065625,26980,368145022.00,1582281,38.92,6.60,1.25
12-April-2021,93.00,94.30,92.90,92.90,93.103171788903005166,2332217,14056,217136800.00,1440513,61.77,1.40,-0.10
9-April-2021,97.00,99.70,94.00,97.75,98.288564728971767948,2592479,16501,254811040.00,1491188,57.52,5.70,0.75
8-April-2021,100.55,101.95,97.00,97.40,98.895582671727746220,3178505,24482,314340104.00,1832689,57.66,4.95,-3.15
7-April-2021,103.30,103.30,95.50,99.95,100.669644081200998656,8672849,55772,873092622.00,3232359,37.27,7.80,-3.35
6-April-2021,98.40,98.40,97.50,98.40,98.393607080935650136,763063,3573,75080521.00,727186,95.30,0.90,0.00
5-April-2021,92.30,93.75,89.30,93.75,92.903761411561031091,1987020,9718,184601632.00,953078,47.97,4.45,1.45
1-April-2021,83.05,89.30,81.35,89.30,86.325409738481685781,2444303,13222,211005458.00,812521,33.24,7.95,6.25
31-March-2021,86.25,88.00,85.05,85.05,85.977043210262725509,911103,5227,78333942.00,469952,51.58,2.95,-1.20
30-March-2021,95.00,96.00,89.50,89.50,90.464522629361868141,1443103,8514,130549624.00,815688,56.52,6.50,-5.50
26-March-2021,99.40,103.00,94.20,94.20,95.659908380247478914,1685881,13917,161271222.00,953131,56.54,8.80,-5.20
25-March-2021,105.55,109.00,99.15,99.15,101.451512698696516245,3120714,25453,316601156.00,1600519,51.29,9.85,-6.40
24-March-2021,105.80,106.70,99.50,104.35,105.137224608434212330,4353483,22209,457713120.00,2408233,55.32,7.20,-1.45
23-March-2021,101.65,101.65,100.10,101.65,101.571242968989513429,2208253,7278,224295002.00,1777519,80.49,1.55,0.00
22-March-2021,93.00,96.85,93.00,96.85,96.068400024706528700,4614165,18520,443275449.00,2874255,62.29,3.85,3.85
19-March-2021,88.15,93.05,84.70,92.25,87.599280270100883488,3462410,13112,303304624.00,1302757,37.63,8.35,4.10
18-March-2021,90.00,91.50,85.55,89.15,89.630426174657414517,3861445,18514,346102961.00,1226313,31.76,5.95,-0.85
17-March-2021,85.00,87.20,84.00,87.15,86.661019728985983344,4103404,11169,355605175.00,1491758,36.35,3.20,2.15
16-March-2021,81.40,83.20,80.00,83.05,81.984901376606113025,2756344,11412,225978591.00,965165,35.02,3.20,1.65
15-March-2021,77.60,79.25,74.10,79.25,77.650371176098780645,2324099,8974,180467150.00,748117,32.19,5.15,1.65
12-March-2021,75.00,79.30,74.05,75.50,75.945963007922737970,5526751,32450,419734427.00,2479657,44.87,5.25,0.50
10-March-2021,84.00,84.30,77.90,77.90,80.542072183796669571,4148715,29503,334146103.00,2165469,52.20,6.40,-6.10
9-March-2021,82.05,82.05,76.00,81.95,80.716881305749869714,9043631,40975,729973690.00,3573300,39.51,6.05,-0.10
8-March-2021,76.45,78.15,76.00,78.15,77.931239217515029337,1719803,8397,134026379.00,1452352,84.45,2.15,1.70
5-March-2021,73.10,74.95,68.20,74.45,72.984615614495231807,8566348,28584,625211616.00,3300589,38.53,6.75,1.35
4-March-2021,64.85,71.40,62.40,71.40,69.546879125275602644,4564089,16145,317418146.00,3032186,66.44,9.00,6.55
3-March-2021,63.85,66.60,63.50,64.95,65.186662586204302476,3123829,15138,203631987.00,1376022,44.05,3.10,1.10
2-March-2021,56.10,61.25,56.05,61.25,60.065821544605839591,2996648,7239,179996124.00,1259083,42.02,5.20,5.15
1-March-2021,56.00,56.50,55.45,55.70,55.982804555803684094,733043,3798,41037803.00,353844,48.27,1.05,-0.30
26-February-2021,56.00,56.20,55.00,55.25,55.581646262705677542,427368,2506,23753817.00,155312,36.34,1.20,-0.75
25-February-2021,55.95,57.20,55.50,56.50,56.512135731678579844,1222176,6177,69067776.00,715488,58.54,1.70,0.55
24-February-2021,55.20,56.20,54.90,55.30,55.493296622073471581,625058,3229,34686529.00,344743,55.15,1.30,0.10
23-February-2021,56.15,56.65,54.90,55.30,55.794699802231426545,669975,4312,37381054.00,330378,49.31,1.75,-0.85
22-February-2021,56.20,57.35,54.90,55.75,56.101589899315969185,799233,2415,44838242.00,286292,35.82,2.45,-0.45
19-February-2021,56.00,58.50,54.40,55.80,56.809263500557693030,2553376,11805,145055410.00,1049964,41.12,4.10,-0.20
18-February-2021,54.80,56.80,54.35,55.75,55.650096862251077436,1564593,7747,87069752.00,736196,47.05,2.45,0.95
17-February-2021,55.40,55.45,52.75,54.30,54.051491598519554895,1317982,7494,71238893.00,504652,38.29,2.70,-1.10
16-February-2021,57.35,58.90,54.50,55.25,57.196973254574203429,1409699,6144,80630516.00,452537,32.10,4.40,-2.10
15-February-2021,57.55,59.15,56.15,56.90,57.874585618737874207,1562269,6253,90415671.00,438135,28.04,3.00,-0.65
12-February-2021,54.00,58.50,53.35,57.25,56.254162958520597875,1974257,7022,111060175.00,544911,27.60,5.15,3.25
11-February-2021,52.00,55.20,52.00,53.80,53.617114323682197076,744990,2559,39944214.00,189256,25.40,3.20,1.80
10-February-2021,52.70,53.10,52.00,52.10,52.342669268232727496,260356,1050,13627728.00,100816,38.72,1.10,-0.60
9-February-2021,53.45,53.55,52.40,52.70,52.818947722144880226,291634,1254,15403801.00,98259,33.69,1.15,-0.75
8-February-2021,53.30,54.50,52.75,53.05,53.328320508174706371,375304,1953,20014332.00,161781,43.11,1.75,-0.25
5-February-2021,53.50,53.80,52.05,52.20,52.801131208867898499,616155,1711,32533681.00,295490,47.96,1.75,-1.30
4-February-2021,52.95,54.85,52.75,53.20,53.854014095428463115,754429,3612,40629030.00,279570,37.06,2.10,0.25
3-February-2021,52.75,53.20,52.15,52.45,52.638728884775763764,752064,3823,39587693.00,401124,53.34,1.05,-0.30
2-February-2021,53.00,53.80,51.35,52.50,52.727900905805419090,609844,3802,32155794.00,319508,52.39,2.45,-0.50
1-February-2021,51.90,52.95,51.05,52.35,52.062932033051286860,453235,2422,23596743.00,166369,36.71,1.90,0.45
29-January-2021,49.85,51.50,49.50,51.30,50.704086368063807109,784364,3556,39770460.00,381613,48.65,2.00,1.45
28-January-2021,48.70,49.90,48.40,49.05,49.123594248661792269,473768,3621,23273187.00,222603,46.99,1.50,0.35
27-January-2021,51.00,51.70,49.45,49.65,50.330053995648111943,335027,1790,16861927.00,175881,52.50,2.25,-1.35
25-January-2021,53.60,53.85,50.60,51.20,51.913940693104680242,489825,1954,25428746.00,155107,31.67,3.25,-2.40
22-January-2021,53.75,54.55,52.55,52.85,53.401007614435729171,741355,4625,39589104.00,380222,51.29,2.00,-0.90
21-January-2021,56.20,56.40,53.20,53.75,55.175787362044296436,956104,4820,52753791.00,607947,63.59,3.20,-2.45
20-January-2021,55.50,56.05,55.15,55.55,55.496440610672351574,395433,1811,21945124.00,208531,52.73,0.90,0.05
19-January-2021,54.20,55.75,54.00,55.25,54.844253866238200441,497900,2196,27306954.00,251925,50.60,1.75,1.05
18-January-2021,54.00,54.85,52.75,53.50,53.892903237579545982,1205592,5354,64972853.00,850707,70.56,2.10,-0.50
15-January-2021,53.60,54.95,52.75,54.15,53.913637256733357401,1033177,5447,55702330.00,499643,48.36,2.20,0.55
14-January-2021,53.60,54.75,53.25,53.95,54.103098812590684314,405252,2002,21925389.00,196608,48.51,1.50,0.35
13-January-2021,56.40,56.65,52.95,53.60,54.717992855702647964,1661465,9478,90912030.00,900980,54.23,3.70,-2.80
12-January-2021,56.50,57.40,55.00,55.70,56.196542112773196747,1999429,9387,112360996.00,1074326,53.73,2.40,-0.80
11-January-2021,54.05,56.15,53.55,56.15,55.490456084548372203,3556402,11897,197346369.00,2429540,68.31,2.60,2.10
8-January-2021,51.25,53.60,51.15,53.50,53.186160380641003732,4857070,10800,258328904.00,2856170,58.80,2.45,2.25
7-January-2021,51.20,51.75,50.70,51.05,51.243070811307017821,1263640,5258,64752794.00,802671,63.52,1.05,-0.15
6-January-2021,50.00,51.80,48.95,50.70,49.447192533055330675,75855390,9382,3750836074.00,74033116,97.60,2.85,0.70
5-January-2021,49.10,50.30,49.10,49.80,49.867818862174094497,989589,4641,49348645.00,600278,60.66,1.20,0.70
4-January-2021,50.85,50.85,49.90,50.20,50.275701438387226505,1168670,5069,58755704.00,811328,69.42,0.95,-0.65
1-January-2021,50.10,50.50,49.75,50.15,50.146073924267638126,298657,1365,14976476.00,151015,50.56,0.75,0.05
31-December-2020,50.70,50.75,49.00,49.70,50.109365334304576828,1065301,4600,53381557.00,629666,59.11,1.75,-1.00
30-December-2020,50.80,51.05,49.25,50.05,49.928794989722813723,1595281,5360,79650458.00,877330,55.00,1.80,-0.75
29-December-2020,50.80,51.90,47.65,50.45,50.246602802206092722,3254079,6232,163506415.00,1507518,46.33,4.25,-0.35
28-December-2020,48.40,50.15,47.85,50.15,49.725956706788173056,1409967,3545,70111958.00,796903,56.52,2.30,1.75
24-December-2020,47.60,48.65,47.20,47.80,47.859100173127917424,1597085,6801,76435051.00,1065592,66.72,1.45,0.20
23-December-2020,45.35,47.10,45.05,47.10,46.597942598357562334,1756779,6489,81862287.00,917930,52.25,2.05,1.75
22-December-2020,43.00,45.45,42.75,44.90,43.358217597012303626,2094992,12695,90835119.00,1109058,52.94,2.70,1.90
21-December-2020,47.35,47.50,45.00,45.00,46.103025896151595807,1478405,8070,68158944.00,1125059,76.10,2.50,-2.35
18-December-2020,46.80,47.60,45.10,47.35,46.545786859124566501,1258942,6727,58598446.00,754089,59.90,2.50,0.55
